IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.66700
JFK,John F. Kennedy International Airport,New York,NY,USA,40.63975,-73.77893
LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261
ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.97960,-87.90446
PHL,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931
SFO,San Francisco International Airport,San Francisco,CA,USA,37.61900,-122.37484
